team_id,last_game_date,elo_pre,avg_pts_for_last5,avg_pts_against_last5,win_pct_last5,netrtg_last10,efg_last10,tov_pct_last10,orb_pct_last10,ftr_last10
1610612765,2023-04-09,1204.3898920994723,103.6,117.4,0.2,-12.847020093542369,0.518562874251497,0.14029589680052473,0.24065420560747663,0.2958083832335329
1610612766,2023-04-09,1366.4185586740875,102.8,115.2,0.2,-5.6591991257513,0.5387323943661971,0.1453801421494723,0.20140515222482436,0.2676056338028169
1610616833,2023-02-19,1550.728870853082,165.6,170.6,0.4,-3.8548074956338354,0.6279257465698144,0.09866553094832482,0.2533081285444234,0.05649717514124294
1610616834,2023-02-19,1449.271129146918,170.6,165.6,0.6,3.8548074956338354,0.6414713015359741,0.10003663313326007,0.28305400372439476,0.07437348423605497
41,2014-10-07,1455.5305013018146,,,,,,,,
45,2007-10-18,1461.5565184765142,,,,,,,,
50009,2022-10-09,1396.2161330585627,87.66666666666667,134.33333333333334,0.0,,,,,
93,2017-10-13,1438.403470957968,85.4,123.0,0.0,-29.682909532975387,0.43139678615574784,0.1839446518778827,0.2170212765957447,0.2323856613102596
94,2015-10-06,1455.4175836346735,93.0,118.0,0.0,,,,,
95,2010-10-16,1472.422088236493,,,,,,,,
